,Unnamed: 0,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Schedule,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Year,Make and Model,Total_passengers,Fatality_Pecentage,Serious_Inj_Percentage,Minor/NonInj_Percentage
28240,30371,Incident,1992-05-13,"LOS ANGELES, CA",United States,Incident,Minor,,Boeing,767222,No,2.0,Turbo Fan,SCHD,0.0,0.0,3.0,81.0,VMC,Takeoff,Probable Cause,1992,Boeing-767222,84.0,0.0,0.0,100.0
28249,30380,Accident,1992-05-14,"PALACIOS, TX",United States,Non-Fatal,,,Boeing,737200,No,2.0,Turbo Fan,SCHD,0.0,1.0,0.0,113.0,IMC,Descent,Probable Cause,1992,Boeing-737200,114.0,0.0,0.8771929824561403,99.12280701754385
28389,30539,Accident,1992-06-06,"TUCUTI, Panama",Panama,Fatal(47),Destroyed,,Boeing,737204,No,0.0,Unknown,SCHD,47.0,0.0,0.0,0.0,UNK,,Foreign,1992,Boeing-737204,47.0,100.0,0.0,0.0
28527,30690,Accident,1992-06-20,"DUNN, NC",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,2.0,0.0,VMC,Go-around,Probable Cause,1992,Boeing-A75N1,2.0,0.0,0.0,100.0
28535,30698,Accident,1992-06-21,"STOCKBRIDGE, GA",United States,Non-Fatal,Substantial,,Boeing,D75N1,No,1.0,Reciprocating,,0.0,0.0,2.0,0.0,VMC,Go-around,Probable Cause,1992,Boeing-D75N1,2.0,0.0,0.0,100.0
28575,30741,Incident,1992-06-27,"JAMICA, NY",United States,Incident,Minor,,Boeing,767231Er,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,195.0,VMC,Takeoff,Probable Cause,1992,Boeing-767231Er,195.0,0.0,0.0,100.0
28610,30786,Accident,1992-07-02,"JANESVILLE, WI",United States,Non-Fatal,,,Boeing,727200,No,3.0,Turbo Jet,SCHD,0.0,1.0,0.0,136.0,IMC,Descent,Probable Cause,1992,Boeing-727200,137.0,0.0,0.7299270072992701,99.2700729927007
28705,30891,Incident,1992-07-15,"OKLAHOMA CITY, OK",United States,Incident,,,Boeing,737222,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,88.0,VMC,Approach,Probable Cause,1992,Boeing-737222,88.0,0.0,0.0,100.0
28804,31006,Accident,1992-07-29,"BRIGHAM CITY, UT",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,1992,Boeing-A75N1,1.0,0.0,0.0,100.0
28825,31027,Accident,1992-07-31,"CIBOLO, TX",United States,Fatal(1),Destroyed,,Boeing,A75,No,1.0,Reciprocating,,1.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,1992,Boeing-A75,1.0,100.0,0.0,0.0
28835,31040,Accident,1992-08-01,"THREE FORKS, MT",United States,Non-Fatal,Substantial,,Boeing,B75,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1992,Boeing-B75,1.0,0.0,0.0,100.0
28849,31058,Accident,1992-08-03,"SPRINGFIELD, MO",United States,Non-Fatal,,,Boeing,737300,No,2.0,Turbo Fan,SCHD,0.0,1.0,1.0,65.0,IMC,Descent,Probable Cause,1992,Boeing-737300,67.0,0.0,1.4925373134328357,98.50746268656715
28874,31087,Accident,1992-08-06,"SAN FRANCISCO, CA",United States,Non-Fatal,,,Boeing,737200,No,2.0,Turbo Jet,SCHD,0.0,1.0,0.0,113.0,VMC,Taxi,Probable Cause,1992,Boeing-737200,114.0,0.0,0.8771929824561403,99.12280701754385
28899,31116,Accident,1992-08-08,"ST. PAUL, MN",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1992,Boeing-A75N1,2.0,0.0,0.0,100.0
28927,31145,Accident,1992-08-11,"NEWARK, NJ",United States,Non-Fatal,Substantial,,Boeing,747238,No,4.0,Turbo Fan,SCHD,0.0,0.0,0.0,361.0,VMC,Taxi,Probable Cause,1992,Boeing-747238,361.0,0.0,0.0,100.0
29029,31255,Accident,1992-08-23,"CHICAGO, IL",United States,Fatal(1),,,Boeing,747300,No,4.0,Turbo Fan,SCHD,1.0,1.0,0.0,277.0,VMC,Standing,Probable Cause,1992,Boeing-747300,279.0,0.35842293906810035,0.35842293906810035,99.2831541218638
29054,31280,Accident,1992-08-26,"MIAMI, FL",United States,Non-Fatal,,,Boeing,737200,No,2.0,Turbo Jet,SCHD,0.0,1.0,2.0,92.0,VMC,Standing,Probable Cause,1992,Boeing-737200,95.0,0.0,1.0526315789473684,98.94736842105264
29085,31314,Incident,1992-08-31,"CHATTANOOGA, TN",United States,Incident,,,Saab_Scania,340B,No,2.0,Turbo Prop,SCHD,0.0,0.0,0.0,25.0,VMC,Cruise,Probable Cause,1992,Saab_Scania-340B,25.0,0.0,0.0,100.0
29167,31404,Accident,1992-09-10,"OTTAWA, IL",United States,Non-Fatal,Substantial,,Boeing,A75,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1992,Boeing-A75,2.0,0.0,0.0,100.0
29233,31479,Incident,1992-09-19,"RIO DE JANEIRO, Brazil",Brazil,Incident,Minor,,Boeing,747287,No,0.0,Unknown,SCHD,0.0,0.0,0.0,191.0,VMC,,Foreign,1992,Boeing-747287,191.0,0.0,0.0,100.0
29263,31513,Accident,1992-09-23,"BELVIDERE, IL",United States,Non-Fatal,Substantial,,Boeing,B75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1992,Boeing-B75N1,1.0,0.0,0.0,100.0
29307,31561,Accident,1992-10-01,"MARTINIQUE, FRANCE",France,Non-Fatal,Substantial,,Boeing,727200,No,3.0,Turbo Fan,NSCH,0.0,0.0,0.0,5.0,VMC,,Foreign,1992,Boeing-727200,5.0,0.0,0.0,100.0
29361,31622,Incident,1992-10-08,"ANCHORAGE, AK",United States,Incident,,,Boeing,737200,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,26.0,VMC,Approach,Probable Cause,1992,Boeing-737200,26.0,0.0,0.0,100.0
29382,31647,Incident,1992-10-12,"PITTSBURGH, PA",United States,Incident,,,Boeing,737300,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,133.0,VMC,Takeoff,Probable Cause,1992,Boeing-737300,133.0,0.0,0.0,100.0
29521,31802,Accident,1992-11-13,"ATLANTA, GA",United States,Non-Fatal,,,Boeing,757232,No,2.0,Turbo Fan,SCHD,0.0,1.0,0.0,187.0,VMC,Taxi,Probable Cause,1992,Boeing-757232,188.0,0.0,0.5319148936170213,99.46808510638296
29555,31838,Accident,1992-11-20,"SAN LUIS, Argentina",Argentina,Non-Fatal,Destroyed,,Boeing,737200C,No,0.0,Unknown,SCHD,0.0,0.0,0.0,113.0,VMC,,Foreign,1992,Boeing-737200C,113.0,0.0,0.0,100.0
29580,31865,Accident,1992-11-27,"CHICAGO, IL",United States,Non-Fatal,,,Boeing,727232,No,3.0,Turbo Fan,SCHD,0.0,1.0,5.0,118.0,VMC,Standing,Probable Cause,1992,Boeing-727232,124.0,0.0,0.8064516129032258,99.19354838709677
29630,31916,Accident,1992-12-08,"FLUSHING, NY",United States,Fatal(1),,,Boeing,737300Lr,No,2.0,Turbo Fan,SCHD,1.0,0.0,0.0,59.0,VMC,Taxi,Probable Cause,1992,Boeing-737300Lr,60.0,1.6666666666666667,0.0,98.33333333333331
29663,31949,Incident,1992-12-17,"MIAMI, FL",United States,Incident,Minor,,Boeing,727225A,No,3.0,Turbo Jet,SCHD,0.0,0.0,2.0,78.0,VMC,Descent,Probable Cause,1992,Boeing-727225A,80.0,0.0,0.0,100.0
29738,32033,Accident,1993-01-02,"HIBBING, MN",United States,Non-Fatal,Substantial,,Saab_Scania,340A,No,2.0,Turbo Prop,SCHD,0.0,0.0,0.0,31.0,IMC,Landing,Probable Cause,1993,Saab_Scania-340A,31.0,0.0,0.0,100.0
29749,32044,Accident,1993-01-05,"SARASOTA, FL",United States,Non-Fatal,Minor,,Boeing,767323Er,No,2.0,Turbo Fan,SCHD,0.0,3.0,21.0,200.0,IMC,Cruise,Probable Cause,1993,Boeing-767323Er,224.0,0.0,1.3392857142857142,98.66071428571428
29761,32056,Incident,1993-01-08,"DENVER, CO",United States,Incident,,,Boeing,767222,No,2.0,Unknown,SCHD,0.0,0.0,0.0,208.0,VMC,Cruise,Probable Cause,1993,Boeing-767222,208.0,0.0,0.0,100.0
29790,32087,Accident,1993-01-16,"SAN ANTONIO, TX",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1993,Boeing-A75N1,1.0,0.0,0.0,100.0
29803,32100,Accident,1993-01-19,"MEDICINE BOW, WY",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,1.0,0.0,UNK,Cruise,Probable Cause,1993,Boeing-A75N1,1.0,0.0,0.0,100.0
29848,32147,Accident,1993-01-31,"BEND, OR",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1993,Boeing-A75N1,1.0,0.0,0.0,100.0
29891,32193,Incident,1993-02-11,"NEWARK, NJ",United States,Incident,,,Boeing,727200,No,3.0,Turbo Jet,SCHD,0.0,0.0,0.0,67.0,VMC,Taxi,Probable Cause,1993,Boeing-727200,67.0,0.0,0.0,100.0
29895,32197,Accident,1993-02-12,"HUGHSON, CA",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,UNK,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1993,Boeing-A75N1,1.0,0.0,0.0,100.0
29899,32201,Incident,1993-02-13,"GRAND JUNCTION, CO",United States,Incident,,,Boeing,757222,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,47.0,VMC,Cruise,Probable Cause,1993,Boeing-757222,47.0,0.0,0.0,100.0
29900,32202,Incident,1993-02-13,"PORTLAND, ME",United States,Incident,,,Boeing,737130,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,99.0,IMC,Landing,Probable Cause,1993,Boeing-737130,99.0,0.0,0.0,100.0
29942,32251,Accident,1993-02-23,"FORT LAUDERDALE, FL",United States,Non-Fatal,Substantial,,Boeing,757232,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,191.0,IMC,Climb,Probable Cause,1993,Boeing-757232,191.0,0.0,0.0,100.0
30020,32337,Accident,1993-03-09,"HOUSTON, TX",United States,Non-Fatal,,,Boeing,727200,No,3.0,Turbo Fan,SCHD,0.0,1.0,0.0,45.0,VMC,Cruise,Probable Cause,1993,Boeing-727200,46.0,0.0,2.1739130434782608,97.82608695652172
30041,32360,Incident,1993-03-15,"NEWARK, NJ",United States,Incident,,,Boeing,737130,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,61.0,VMC,Takeoff,Probable Cause,1993,Boeing-737130,61.0,0.0,0.0,100.0
30042,32362,Accident,1993-03-15,"GUADALAJARA, Mexico",Mexico,Non-Fatal,Minor,,Boeing,727232,No,0.0,Unknown,SCHD,0.0,0.0,1.0,73.0,VMC,,Foreign,1993,Boeing-727232,74.0,0.0,0.0,100.0
30076,32397,Accident,1993-03-21,"CARLSBAD, CA",United States,Non-Fatal,Substantial,,Boeing,A75L3,No,1.0,Reciprocating,,0.0,2.0,0.0,0.0,VMC,Approach,Probable Cause,1993,Boeing-A75L3,2.0,0.0,100.0,0.0
30078,32399,Incident,1993-03-22,"NEWARK, NJ",United States,Incident,,,Boeing,727100,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,1993,Boeing-727100,3.0,0.0,0.0,100.0
30120,32443,Accident,1993-03-31,"ANCHORAGE, AK",United States,Non-Fatal,Substantial,,Boeing,747121,No,4.0,Turbo Fan,SCHD,0.0,0.0,0.0,5.0,VMC,Climb,Probable Cause,1993,Boeing-747121,5.0,0.0,0.0,100.0
30124,32447,Accident,1993-04-01,"DAVENPORT, WA",United States,Non-Fatal,Substantial,,Boeing,D75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1993,Boeing-D75N1,1.0,0.0,0.0,100.0
30140,32466,Accident,1993-04-05,"GUATEMALA CITY, PANAMA",Panama,Non-Fatal,Substantial,,Boeing,767251,No,0.0,Unknown,SCHD,0.0,0.0,9.0,215.0,VMC,,Foreign,1993,Boeing-767251,224.0,0.0,0.0,100.0
30153,32479,Incident,1993-04-07,"HOUSTON, TX",United States,Incident,,,Boeing,757200,No,2.0,Turbo Fan,NSCH,0.0,0.0,0.0,40.0,IMC,Cruise,Probable Cause,1993,Boeing-757200,40.0,0.0,0.0,100.0
30171,32499,Incident,1993-04-10,"KANSAS CITY, MO",United States,Incident,,,Boeing,767233,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,101.0,VMC,Cruise,Probable Cause,1993,Boeing-767233,101.0,0.0,0.0,100.0
30186,32517,Incident,1993-04-12,"ALEXANDRIA, LA",United States,Incident,Minor,,Boeing,747269Bc,No,4.0,Turbo Jet,NSCH,0.0,0.0,0.0,40.0,VMC,Climb,Probable Cause,1993,Boeing-747269Bc,40.0,0.0,0.0,100.0
30251,32591,Incident,1993-04-23,"DENVER, CO",United States,Incident,,,Boeing,737522,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,133.0,VMC,Approach,Probable Cause,1993,Boeing-737522,133.0,0.0,0.0,100.0
30254,32594,Accident,1993-04-23,"ZANESVILLE, OH",United States,Non-Fatal,Substantial,,Boeing,E75,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1993,Boeing-E75,1.0,0.0,0.0,100.0
30269,32612,Accident,1993-04-26,"MIAMI, FL",United States,Non-Fatal,,,Boeing,757232,No,2.0,Turbo Fan,SCHD,0.0,1.0,0.0,61.0,IMC,Descent,Probable Cause,1993,Boeing-757232,62.0,0.0,1.6129032258064515,98.38709677419355
30425,32791,Accident,1993-05-19,"HARDIN, MT",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1993,Boeing-A75N1,1.0,0.0,0.0,100.0
30522,32892,Accident,1993-06-01,"PACOIMA, CA",United States,Non-Fatal,Substantial,,Boeing,B75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1993,Boeing-B75N1,1.0,0.0,0.0,100.0
30558,32934,Incident,1993-06-06,"ANCHORAGE, AK",United States,Incident,Minor,,Boeing,737200,No,2.0,Turbo Fan,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1993,Boeing-737200,2.0,0.0,0.0,100.0
30573,32951,Incident,1993-06-08,"LOS ANGELES, CA",United States,Incident,Minor,,Boeing,757222,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,197.0,VMC,Climb,Probable Cause,1993,Boeing-757222,197.0,0.0,0.0,100.0
30683,33074,Accident,1993-06-24,"BARABOO, WI",United States,Non-Fatal,,,Boeing,757222,No,2.0,Turbo Fan,SCHD,0.0,1.0,0.0,147.0,IMC,Descent,Probable Cause,1993,Boeing-757222,148.0,0.0,0.6756756756756757,99.32432432432432
30855,33264,Accident,1993-07-16,CARIBBEAN SEA,CARIBBEAN SEA,Non-Fatal,,,Boeing,767322Er,No,2.0,Turbo Fan,SCHD,0.0,1.0,2.0,161.0,IMC,Cruise,Probable Cause,1993,Boeing-767322Er,164.0,0.0,0.6097560975609756,99.39024390243902
30921,33338,Accident,1993-07-25,"JAMAICA, NY",United States,Non-Fatal,Minor,,Boeing,747368,No,4.0,Turbo Fan,SCHD,0.0,0.0,0.0,193.0,VMC,Taxi,Probable Cause,1993,Boeing-747368,193.0,0.0,0.0,100.0
30991,33416,Accident,1993-07-31,"BURNET, TX",United States,Non-Fatal,Substantial,,Boeing,B75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1993,Boeing-B75N1,1.0,0.0,0.0,100.0
31011,33439,Incident,1993-08-02,"MIAMI, FL",United States,Incident,Minor,,Boeing,707341,No,4.0,Turbo Fan,NSCH,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,1993,Boeing-707341,3.0,0.0,0.0,100.0
31012,33440,Accident,1993-08-02,"DENVER, CO",United States,Non-Fatal,Substantial,,Boeing,757222,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,164.0,VMC,Landing,Probable Cause,1993,Boeing-757222,164.0,0.0,0.0,100.0
31152,33596,Accident,1993-08-21,"LAFAYETTE, LA",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,2.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1993,Boeing-A75N1,2.0,0.0,100.0,0.0
31196,33648,Incident,1993-08-27,"MILAN, Italy",Italy,Incident,,,Boeing,747100,No,0.0,Unknown,SCHD,0.0,0.0,1.0,370.0,UNK,,Foreign,1993,Boeing-747100,371.0,0.0,0.0,100.0
31287,33750,Incident,1993-09-08,"ST. LOUIS, MO",United States,Incident,Minor,,Boeing,737300,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,144.0,VMC,Approach,Probable Cause,1993,Boeing-737300,144.0,0.0,0.0,100.0
31302,33767,Incident,1993-09-11,"NEW YORK, NY",United States,Incident,Minor,,Boeing,747200,No,4.0,Turbo Fan,SCHD,0.0,0.0,0.0,387.0,VMC,Climb,Probable Cause,1993,Boeing-747200,387.0,0.0,0.0,100.0
31317,33784,Accident,1993-09-12,"SPRINGFIELD, MO",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,2.0,0.0,0.0,VMC,Cruise,Probable Cause,1993,Boeing-A75N1,2.0,0.0,100.0,0.0
31322,33789,Incident,1993-09-13,"JAMAICA, NY",United States,Incident,,,Boeing,757200Er,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,85.0,VMC,Cruise,Probable Cause,1993,Boeing-757200Er,85.0,0.0,0.0,100.0
31331,33800,Accident,1993-09-15,"ATLANTA, GA",United States,Non-Fatal,,,Boeing,757232,No,2.0,Turbo Fan,SCHD,0.0,1.0,0.0,187.0,VMC,Climb,Probable Cause,1993,Boeing-757232,188.0,0.0,0.5319148936170213,99.46808510638296
31376,33847,Incident,1993-09-21,"INDIANAPOLIS, IN",United States,Incident,,,Boeing,7373B7,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,88.0,VMC,Cruise,Probable Cause,1993,Boeing-7373B7,88.0,0.0,0.0,100.0
31390,33863,Accident,1993-09-23,"DELAND, FL",United States,Non-Fatal,Substantial,,Boeing,E75,No,1.0,Reciprocating,,0.0,0.0,4.0,0.0,VMC,Approach,Probable Cause,1993,Boeing-E75,4.0,0.0,0.0,100.0
31402,33876,Incident,1993-09-25,"ANCHORAGE, AK",United States,Incident,Minor,,Boeing,747200,No,4.0,Turbo Fan,SCHD,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,1993,Boeing-747200,3.0,0.0,0.0,100.0
31462,33938,Incident,1993-10-04,"FORT LAUDERDALE, FL",United States,Incident,Minor,,Boeing,757232,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,95.0,VMC,Takeoff,Probable Cause,1993,Boeing-757232,95.0,0.0,0.0,100.0
31484,33960,Accident,1993-10-06,"ST PAUL, MN",United States,Non-Fatal,Substantial,,Boeing,75N1,No,1.0,Reciprocating,,0.0,0.0,2.0,0.0,VMC,Maneuvering,Probable Cause,1993,Boeing-75N1,2.0,0.0,0.0,100.0
31544,34024,Accident,1993-10-22,ATLANTIC OCEAN,ATLANTIC OCEAN,Non-Fatal,,,Boeing,767300,No,2.0,Turbo Fan,SCHD,0.0,1.0,2.0,105.0,VMC,Cruise,Probable Cause,1993,Boeing-767300,108.0,0.0,0.9259259259259258,99.07407407407408
31618,34103,Accident,1993-11-06,"HALF MOON BAY, CA",United States,Non-Fatal,Substantial,,Boeing,Pt13D,No,1.0,Reciprocating,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,1993,Boeing-Pt13D,3.0,0.0,0.0,100.0
31666,34158,Accident,1993-11-15,"CHICAGO, IL",United States,Non-Fatal,Substantial,,Boeing,727227,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,86.0,VMC,Go-around,Probable Cause,1993,Boeing-727227,86.0,0.0,0.0,100.0
31758,34261,Incident,1993-12-08,"DFW AIRPORT, TX",United States,Incident,Minor,,Boeing,73733A,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,69.0,IMC,Approach,Probable Cause,1993,Boeing-73733A,69.0,0.0,0.0,100.0
31792,34298,Accident,1993-12-19,"MADISONVILLE, TX",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1993,Boeing-A75N1,1.0,0.0,0.0,100.0
31830,34339,Incident,1994-01-01,"MIAMI, FL",United States,Incident,,,Boeing,767322,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,169.0,VMC,Standing,Probable Cause,1994,Boeing-767322,169.0,0.0,0.0,100.0
31872,34385,Accident,1994-01-16,"ZELLWOOD, FL",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,1994,Boeing-A75N1,1.0,0.0,100.0,0.0
31884,34398,Incident,1994-01-19,"LITTLE ROCK, AR",United States,Incident,Minor,,Boeing,7372H4,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,67.0,VMC,Takeoff,Probable Cause,1994,Boeing-7372H4,67.0,0.0,0.0,100.0
31940,34455,Accident,1994-02-01,"NEW ROADS, LA",United States,Non-Fatal,Substantial,,Saab_Scania,340B,No,2.0,Turbo Prop,SCHD,0.0,0.0,1.0,25.0,VMC,Descent,Probable Cause,1994,Saab_Scania-340B,26.0,0.0,0.0,100.0
31974,34493,Incident,1994-02-09,"CHICAGO, IL",United States,Incident,Minor,,Boeing,737130,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,100.0,VMC,Landing,Probable Cause,1994,Boeing-737130,100.0,0.0,0.0,100.0
31984,34504,Incident,1994-02-11,"CHARLOTTE, NC",United States,Incident,,,Boeing,Dhc8102,No,2.0,Turbo Prop,SCHD,0.0,0.0,2.0,10.0,IMC,Approach,Probable Cause,1994,Boeing-Dhc8102,12.0,0.0,0.0,100.0
31989,34509,Accident,1994-02-12,PACIFIC OCEAN,PACIFIC OCEAN,Non-Fatal,,,Boeing,747400,No,4.0,Turbo Fan,SCHD,0.0,1.0,0.0,408.0,VMC,Cruise,Probable Cause,1994,Boeing-747400,409.0,0.0,0.2444987775061125,99.75550122249388
32076,34600,Accident,1994-03-01,"NARITA, JAPAN",Japan,Non-Fatal,Substantial,,Boeing,747,No,4.0,Turbo Fan,SCHD,0.0,0.0,0.0,250.0,VMC,,Foreign,1994,Boeing-747,250.0,0.0,0.0,100.0
32093,34617,Incident,1994-03-04,"ANCHORAGE, AK",United States,Incident,Minor,,Boeing,747200F,No,4.0,Turbo Fan,NSCH,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,1994,Boeing-747200F,3.0,0.0,0.0,100.0
32202,34735,Accident,1994-03-19,"CHAMBLEE, GA",United States,Non-Fatal,Substantial,,Boeing,Pt17,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1994,Boeing-Pt17,2.0,0.0,0.0,100.0
32256,34793,Incident,1994-04-02,"ORLANDO, FL",United States,Incident,Minor,,Boeing,727243,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,150.0,VMC,Approach,Probable Cause,1994,Boeing-727243,150.0,0.0,0.0,100.0
32387,34944,Incident,1994-04-26,"HONOLULU, HI",United States,Incident,,,Boeing,737209,No,2.0,Turbo Jet,SCHD,0.0,0.0,1.0,58.0,VMC,Approach,Probable Cause,1994,Boeing-737209,59.0,0.0,0.0,100.0
32420,34982,Incident,1994-05-03,"NASHVILLE, TN",United States,Incident,,,Saab_Scania,S340B,No,2.0,Turbo Prop,SCHD,0.0,0.0,0.0,16.0,IMC,Cruise,Probable Cause,1994,Saab_Scania-S340B,16.0,0.0,0.0,100.0
32452,35016,Accident,1994-05-08,"SANDWICH, IL",United States,Non-Fatal,Substantial,,Boeing,B75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1994,Boeing-B75N1,2.0,0.0,0.0,100.0
32464,35028,Incident,1994-05-12,"TEXARKANA, AR",United States,Incident,Minor,,Saab_Scania,Sf34Ob,No,2.0,Turbo Prop,SCHD,0.0,0.0,0.0,28.0,VMC,Takeoff,Probable Cause,1994,Saab_Scania-Sf34Ob,28.0,0.0,0.0,100.0
32476,35041,Accident,1994-05-14,"PEYTON, CO",United States,Fatal(2),Destroyed,,Boeing,E75N1,No,1.0,Reciprocating,,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1994,Boeing-E75N1,2.0,100.0,0.0,0.0
32534,35107,Accident,1994-05-22,"DEMING, NM",United States,Non-Fatal,Substantial,,Boeing,B75,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1994,Boeing-B75,2.0,0.0,0.0,100.0
32625,35209,Accident,1994-06-03,"NEW PARIS, IN",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1994,Boeing-A75N1,1.0,0.0,0.0,100.0
32785,35397,Accident,1994-06-29,"EAST HAMPTON, NY",United States,Non-Fatal,,,Boeing,767200,No,2.0,Turbo Fan,SCHD,0.0,1.0,3.0,163.0,VMC,Maneuvering,Probable Cause,1994,Boeing-767200,167.0,0.0,0.5988023952095809,99.4011976047904
32805,35417,Incident,1994-07-01,"JUNEAU, AK",United States,Incident,,,Boeing,737400,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,63.0,VMC,Approach,Probable Cause,1994,Boeing-737400,63.0,0.0,0.0,100.0
32850,35468,Accident,1994-07-07,"SOUTH BEND, IN",United States,Non-Fatal,,,Boeing,7372H4,No,2.0,Turbo Fan,SCHD,0.0,1.0,0.0,104.0,IMC,Climb,Probable Cause,1994,Boeing-7372H4,105.0,0.0,0.9523809523809524,99.04761904761904
33027,35666,Accident,1994-07-30,"CHAMBLEE, GA",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1994,Boeing-A75N1,2.0,0.0,0.0,100.0
33036,35676,Accident,1994-07-31,"COMFORT, TX",United States,Non-Fatal,Substantial,,Boeing,A75,No,1.0,Reciprocating,,0.0,1.0,1.0,0.0,VMC,Takeoff,Probable Cause,1994,Boeing-A75,2.0,0.0,50.0,50.0
33037,35677,Accident,1994-07-31,"WATERFORD, MI",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1994,Boeing-A75N1,1.0,0.0,0.0,100.0
